,Divy,Div,Price,Low1,High1,Low52,High52,EPS,PE,Vol,Cap
A-SMART HOLDINGS LTD. (BQC),,,0.4200,0.4350,0.4350,0.4200,0.6250,-0.005,,"113,379",55.996M
A-SONIC AEROSPACE LIMITED (BTJ),,,0.1920,0.1920,0.1920,0.1710,0.2450,0.025,7.68,735,11.228M
AA GROUP HOLDINGS LTD. (5GZ),,,0.0190,0.0190,0.0190,0.0160,0.0350,,1.12,"1,507,301",33.836M
ABR HOLDINGS LIMITED (533),3.33,0.03,0.7500,0.7500,0.7500,0.7500,0.8800,0.02,35.71,"2,560",150.747M
ABTERRA LTD (L5I),,,0.0450,0.0450,0.0450,0.0450,0.0450,,,,
ABUNDANCE INTERNATIONAL LTD (541),,,0.0130,0.0130,0.0130,0.0130,0.0230,,,0,8.356M
ACCORDIA GOLF TRUST (ADQU),5.25,0.03,0.6200,0.6150,0.6250,0.4800,0.6850,0.020,30.75,"981,417",675.959M
ACCRELIST LTD. (5RJ),,,0.0040,0.0040,0.0040,0.0030,0.0070,,,"814,860",22.331M
ACE ACHIEVE INFOCOM LIMITED (A75),,,0.0080,0.0080,0.0080,0.0080,0.0080,,,,
ACESIAN PARTNERS LIMITED (5FW),,,0.0160,0.0160,0.0160,0.0150,0.0190,,,"1,809",7.976M
ACMA LTD. (AYV),,,0.2000,0.1780,0.2050,0.1620,0.3100,-0.08,,"3,440",8.478M
ACROMEC LIMITED (43F),,,0.0890,0.0760,0.0890,0.0760,0.3000,,,"15,845",12.332M
ADDVALUE TECHNOLOGIES LTD (A31),,,0.0230,0.0230,0.0230,0.0220,0.0420,-0.007,,"854,307",43.02M
ADVANCE SCT LIMITED (5FH),,,0.0010,0.0010,0.0010,0.0010,0.0010,-0.000,,"1,900,177",41.317M
ADVANCED HOLDINGS LTD. (BLZ),25.13,0.05,0.2150,0.1800,0.2250,0.1650,0.2700,0.003,61.67,3,18.735M
ADVANCED SYSTEMS AUTOMATION (5TY),,,0.0010,0.0010,0.0010,0.0010,0.0020,,,"1,129,687",22.324M
ADVANCER GLOBAL LIMITED (43Q),,,0.1770,0.1750,0.1870,0.1700,0.3200,,10.29,"5,434",43.986M
ADVENTUS HOLDINGS LIMITED (5EF),,,0.0060,0.0040,0.0060,0.0040,0.0090,,,"179,014",11.704M
AEI CORPORATION LTD (AWG),,,0.6500,0.6000,0.6500,0.3450,0.9500,-0.28,,"1,450",36.876M
AEM HOLDINGS LTD (AWX),9.00,0.10,1.1400,1.1500,1.1900,0.6400,1.9425,0.12,9.51,"8,804,653",316.76M
AF GLOBAL LIMITED (L38),,,0.1680,0.1630,0.1630,0.1430,0.2200,0.001,163.00,"18,625",172.069M
AGV GROUP LIMITED (1A4),,,0.0150,0.0150,0.0150,0.0100,0.0740,,,"21,484",2.789M
AIMS PROPERTY SECURITIES FUND (BVP),,,1.7500,1.7500,1.7500,1.7500,1.7500,,,,
ALIBABA PICTURES GROUP LIMITED (S91),,,1.4300,1.4300,1.4300,0.9900,1.4300,-0.01,,85,36.958B
ALLIANCE MINERAL ASSETSLIMITED (40F),,,0.1870,0.1890,0.1930,0.1600,0.4000,,,"2,157,765",248.007M
ALLIED TECHNOLOGIES LIMITED (A13),,,0.0120,0.0120,0.0130,0.0110,0.0680,,6.00,"2,497,871",21.244M
ALPHA ENERGY HOLDINGS LIMITED (5TS),,,0.0690,0.0710,0.0750,0.0500,0.1740,,,"1,424,473",29.673M
AMARA HOLDINGS LTD (A34),2.17,0.01,0.4600,0.4550,0.4700,0.4050,0.5450,0.04,11.50,"25,392",264.485M
AMPLEFIELD LIMITED (AOF),,,0.0240,0.0240,0.0240,0.0190,0.0480,,,"113,337",21.615M
ANAN INTERNATIONAL LIMITED (Y35),,,0.0050,0.0040,0.0050,0.0010,0.0640,-0.005,,"28,425",21.166M
ANCHOR RESOURCES LIMITED (43E),,,0.0260,0.0240,0.0260,0.0180,0.0400,,,"1,278,151",27.261M
ANCHUN INTERNATIONAL HLDGS LTD (BTX),,,0.2000,0.1850,0.1860,0.1710,0.2850,-0.050,,"6,009",9.26M
ANNAIK LIMITED (A52),,,0.1000,0.0990,0.1000,0.0700,0.1500,,9.09,"4,901",24.477M
ANNICA HOLDINGS LIMITED (5AL),,,0.0010,0.0010,0.0010,0.0010,0.0010,,,"50,003",16.175M
AOXIN Q & M DENTAL GRP LIMITED (1D4),,,0.2000,0.2000,0.2100,0.1980,0.2650,,100.00,"34,459",76.315M
AP OIL INTERNATIONAL LIMITED (5AU),2.44,0.01,0.2050,0.1930,0.1940,0.1900,0.2500,0.011,17.64,"6,645",31.919M
APAC REALTY LIMITED (CLN),7.96,0.04,0.5650,0.5650,0.5800,0.4400,1.2800,0.079,7.28,"714,565",204.239M
ARION ENTERTAINMENT SPORE LTD (YYB),,,0.0070,0.0070,0.0070,0.0060,0.0300,,,"18,703",4.361M
ARTIVISION TECHNOLOGIES LTD. (5NK),,,0.0070,0.0060,0.0070,0.0060,0.0160,,,"196,253",12.585M
ASCENDAS INDIA TRUST (CY6U),6.23,0.07,1.1500,1.1500,1.1700,0.9900,1.1900,0.19,6.06,"1,004,445",1.216B
ASIA ENTERPRISES HOLDING LTD (A55),2.99,0.01,0.1670,0.1600,0.1670,0.1550,0.1830,0.005,33.40,"13,987",56.969M
ASIA FASHION HOLDINGS LIMITED (BQI),,,0.0640,0.0640,0.0640,0.0640,0.0640,,,,
ASIA VETS HOLDINGS LTD. (5RE),,,0.1500,0.1500,0.1800,0.0910,0.1800,,,"19,120",20.839M
ASIAMEDIC LIMITED (505),,,0.0220,0.0170,0.0220,0.0170,0.0570,,,"24,782",8.591M
ASIAN HEALTHCARE SPECIALISTS (1J3),,,0.2700,0.2700,0.2700,0.2250,0.3550,,38.57,"1,646",87.991M
ASIAN MICRO HOLDINGS LTD (585),,,0.0030,0.0030,0.0030,0.0030,0.0130,,,"69,090",2.065M
ASIAN PAY TELEVISION TRUST (S7OU),9.23,0.01,0.1300,0.1300,0.1310,0.1220,0.5750,0.00,26.00,"3,853,817",186.784M
ASIAPHOS LIMITED (5WV),,,0.0090,0.0080,0.0080,0.0080,0.0300,,,"140,175",8.252M
ASIATIC GROUP (HOLDINGS) LTD (5CR),,,0.0090,0.0090,0.0090,0.0060,0.0150,,9.00,"44,782",14.008M
ASIATRAVEL.COM HOLDINGS LTD (5AM),,,0.0270,0.0270,0.0270,0.0270,0.0270,,,,
ASL MARINE HOLDINGS LTD (A04),,,0.0710,0.0710,0.0710,0.0410,0.1090,-0.118,,"5,906",44.678M
ASPEN (GROUP) HOLDINGS LIMITED (1F3),,,0.1500,0.1500,0.1500,0.1080,0.2350,,5.17,"13,034",144.543M
ASPIAL CORPORATION LIMITED (A30),3.85,0.01,0.1950,0.1900,0.1950,0.1800,0.2600,0.015,13.00,"29,060",377.616M
ASTAKA HOLDINGS LIMITED (42S),,,0.0880,0.0880,0.0880,0.0610,0.0930,,,306,164.51M
ASTI HOLDINGS LIMITED (575),39.22,0.02,0.0510,0.0480,0.0480,0.0470,0.1140,0.041,1.17,"271,210",31.427M
ATLANTIC NAVIGATION HLDG(S)LTD (5UL),,,0.1000,0.1000,0.1000,0.1000,0.1000,,,,
ATTILAN GROUP LIMITED (5ET),,,0.0020,0.0020,0.0020,0.0020,0.0020,,,,
AUSGROUP LIMITED (5GJ),,,0.0320,0.0300,0.0310,0.0300,0.0535,0.01,5.00,"3,426,771",91.447M
AVARGA LIMITED (U09),25.53,0.06,0.2350,0.2350,0.2450,0.1910,0.2650,0.012,19.58,"162,860",222.561M
AVI-TECH ELECTRONICS LIMITED (BKY),5.42,0.02,0.2950,0.2850,0.2950,0.2800,0.5350,0.019,15.00,"50,154",48.748M
AVIC INTL MARITIME HLDGLIMITED (O2I),,,0.0960,0.0960,0.0980,0.0850,0.1750,,6.00,"15,579",27.415M
AXCELASIA INC. (42U),,,0.0850,0.0850,0.0850,0.0240,0.1000,,,15,13.627M
AYONDO LTD. (1I5),,,0.0480,0.0450,0.0560,0.0450,0.2750,,,"50,965",24.47M
AZEUS SYSTEMS HOLDINGS LTD. (BBW),2.97,0.01,0.3650,0.3650,0.3650,0.2100,0.4400,0.042,8.69,"3,559",10.95M
BAKER TECHNOLOGY LIMITED (BTP),,,0.4000,0.3950,0.4000,0.3950,0.6400,0.09,4.60,"35,347",81.151M
BAN LEONG TECHNOLOGIES LIMITED (B26),6.48,0.02,0.2650,0.2650,0.2650,0.2000,0.2700,0.043,6.16,"3,212",30.19M
BANYAN TREE HOLDINGS LIMITED (B58),1.72,0.01,0.5800,0.5600,0.5800,0.4800,0.6200,0.016,35.31,"333,729",474.24M
BBR HOLDINGS (S) LTD (KJ5),2.35,0.00,0.1700,0.1690,0.1700,0.1610,0.2350,0.01,18.89,"26,495",54.806M
