,Divy,Div,Price,Low7,High7,Low52,High52,EPS,PE,ROE,NTA,Vol,Cap
3A (0012),2.38,2.000,0.840,0.825,0.875,0.700,1.100,5.92,14.19,8.86,0.668,"2,873",413.28m
AASIA (7054),0.00,0.000,0.145,0.145,0.155,0.140,0.210,-0.81,-,-2.70,0.300,120,95.70m
AAX (5238),0.00,0.000,0.255,0.240,0.295,0.205,0.435,-7.54,-,-53.86,0.140,"157,419",1.058b
ABFMY1 (0800EA),3.98,4.650,1.167,1.100,1.170,1.100,1.170,-,-,-,0.000,41,1.477b
ABLEGRP (7086),0.00,0.000,0.070,0.070,0.080,0.070,0.135,-0.37,-,-2.18,0.170,"3,180",18.47m
ABMB (2488),3.64,15.300,4.200,3.960,4.350,3.675,4.350,34.80,12.07,9.67,3.600,"9,794",6.502b
ACME (7131),0.00,0.000,0.230,0.230,0.230,0.230,0.380,1.18,19.49,3.72,0.317,29,54.91m
ACOSTEC (7120),0.00,0.000,0.430,0.405,0.470,0.300,0.490,-3.88,-,-7.46,0.520,"5,526",83.65m
ADVCON (5281),2.94,1.000,0.340,0.300,0.370,0.240,0.760,2.64,12.88,5.87,0.450,"6,873",136.71m
ADVENTA (7191),0.00,0.000,0.370,0.350,0.375,0.350,0.625,-,-,-,0.360,264,56.53m
ADVPKG (9148),5.26,10.000,1.900,1.900,2.000,1.740,2.070,5.09,37.33,3.26,1.560,17,38.96m
AEM (7146),0.00,0.000,0.120,0.110,0.120,0.110,0.185,-0.69,-,-3.83,0.180,"3,981",35.93m
AEMULUS (0181),0.82,0.200,0.245,0.225,0.280,0.190,0.453,0.96,25.52,6.86,0.140,"23,212",134.48m
AEON (6599),2.50,4.000,1.600,1.510,1.690,1.390,2.610,7.49,21.36,5.20,1.440,"16,970",2.246b
AEONCR (5139),2.46,41.130,16.700,15.900,17.300,11.678,17.300,139.26,11.99,24.60,5.660,"1,361",4.189b
AFFIN (5185),2.19,5.000,2.280,2.200,2.340,2.150,2.580,25.33,9.00,5.68,4.460,"1,808",4.528b
AFUJIYA (5198),0.00,0.000,0.500,0.455,0.605,0.370,0.740,2.39,20.92,2.72,0.880,359,90.00m
AHB (7315),0.00,0.000,0.135,0.125,0.150,0.115,0.255,0.59,22.88,2.81,0.210,"7,687",23.77m
AHEALTH (7090),1.25,12.000,9.580,8.200,9.800,5.270,9.800,49.80,19.24,15.32,3.250,286,1.127b
AHP (4952),7.41,5.630,0.760,0.710,0.785,0.644,0.800,5.60,13.57,4.36,1.283,121,167.20m
AIM (0122),0.00,0.000,0.280,0.280,0.280,0.210,0.300,-0.85,-,-8.59,0.099,44,74.50m
AIRASIA (5099),18.98,52.000,2.740,2.690,3.290,1.900,4.230,60.58,4.52,32.57,1.860,"97,796",9.157b
AIRPORT (5014),1.60,13.000,8.120,7.800,8.500,7.260,9.930,43.83,18.53,7.96,5.509,"30,904",13.473b
AISB (2682),0.00,0.000,0.260,0.255,0.295,0.200,0.395,-2.89,-,-2.88,1.002,89,37.54m
AJI (2658),2.50,46.500,18.600,18.560,19.000,17.740,25.035,97.77,19.02,13.11,7.460,206,1.131b
AJIYA (7609),1.90,1.000,0.525,0.525,0.570,0.490,0.640,8.07,6.51,7.02,1.150,"1,546",159.91m
ALAM (5115),0.00,0.000,0.095,0.085,0.120,0.060,0.160,-18.91,-,-43.98,0.430,"20,499",87.82m
ALAQAR (5116),5.62,7.700,1.370,1.320,1.400,1.002,1.400,12.42,11.03,9.64,1.288,496,1.008b
ALCOM (2674),41.84,20.500,0.490,0.490,0.520,0.420,0.905,2.56,19.14,2.81,0.910,"1,365",65.82m
ALLIANZ (1163),2.80,40.000,14.300,13.400,14.760,10.040,14.760,213.29,6.70,11.21,19.030,556,2.528b
ALSREIT (5269),6.65,5.350,0.805,0.795,0.830,0.742,0.876,0,-,0.00,1.071,348,466.90m
AMBANK (1015),3.33,15.000,4.500,4.400,4.590,3.250,4.590,43.10,10.44,7.55,5.710,"27,599",13.564b
AMEDIA (0159),0.00,0.000,0.165,0.155,0.170,0.075,0.175,-1.31,-,-14.56,0.090,"15,032",39.51m
